articleCode,onClick,link,title,category,image,legalText,promotionalMarkerText,showPromotionalClubMarker,showPriceMarker,favouritesTracking,favouritesSavedText,favouritesNotSavedText,marketingMarkerText,marketingMarkerType,marketingMarkerCss,price,redPrice,yellowPrice,bluePrice,clubPriceText,sellingAttribute,swatchesTotal,swatches,preAccessStartDate,preAccessEndDate,preAccessGroups,outOfStockText,comingSoon,brandName,damStyleWith,fabric
1201978001,"setOsaParameters(utag_data.category_id,'SMALL','1201978001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTIwMTk3OF9ncm91cF8wMDFfZW5fZ2I7MTIwMTk3ODAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs1OTs','1201978001');",/en_gb/productpage.1201978001.html,Waisted blazer,ladies_blazers,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/3f/32/3f3204aeeaa3cd09081621702bdd2750d938c803.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/ef/ff/efff4abb4ef6143d8a14d9a70aeb70b754c08f94.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Waisted blazer Model', 'dataAltText': 'Waisted blazer'}]",,,False,False,Favourites|1201978001|Waisted blazer|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£84.99,,,,,New Arrival,1,"[{'colorCode': '#EEECE0', 'articleLink': '/en_gb/productpage.1201978001.html', 'colorName': 'Cream'}]",,,[],,,H&M,,",[Shell] Polyester 80%, Viscose 18%, Elastane 2% ,[Lining] Polyester 52%, Viscose 48% , [Recycled] Recycled polyester 50%"
1196739001,"setOsaParameters(utag_data.category_id,'SMALL','1196739001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE5NjczOV9ncm91cF8wMDFfZW5fZ2I7MTE5NjczOTAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs1OTs','1196739001');",/en_gb/productpage.1196739001.html,Tailored jersey trousers,ladies_trousers_wideleg,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/0c/61/0c611ac504b42dd011b777ac41811f20b8a263b4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/4d/37/4d37016a3fede566743f574a60b63842140320c5.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Tailored jersey trousers Model', 'dataAltText': 'Tailored jersey trousers'}]",,,False,False,Favourites|1196739001|Tailored jersey trousers|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£44.99,,,,,New Arrival,1,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1196739001.html', 'colorName': 'Black'}]",,,[],,,H&M,"1158823001,1195644001,1123435001",",[Material] Polyester 73%, Viscose 21%, Elastane 6%"
1195644001,"setOsaParameters(utag_data.category_id,'SMALL','1195644001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE5NTY0NF9ncm91cF8wMDFfZW5fZ2I7MTE5NTY0NDAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs1OTs','1195644001');",/en_gb/productpage.1195644001.html,Rib-knit jumper,ladies_cardigansjumpers_jumpers,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/d2/90/d29095a5d5ddcddf7cae3725e1e3f536e83a9a38.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/4a/30/4a30d3aa755bd01158ddd37f90ec975124d8fab6.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Rib-knit jumper Model', 'dataAltText': 'Rib-knit jumper'}]",,,False,False,Favourites|1195644001|Rib-knit jumper|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£42.99,,,,,New Arrival,2,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1195644001.html', 'colorName': 'Black'}, {'colorCode': '#EEEDE1', 'articleLink': '/en_gb/productpage.1195644002.html', 'colorName': 'Cream'}]",,,[],,,H&M,1205625001,",[Material] Viscose 65%, Polyamide 35%"
1198948002,"setOsaParameters(utag_data.category_id,'SMALL','1198948002'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE5ODk0OF9ncm91cF8wMDJfZW5fZ2I7MTE5ODk0ODAwMl9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs1OTs','1198948002');",/en_gb/productpage.1198948002.html,Twist-detail dress,ladies_dresses_mididresses,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/38/2f/382f9c8a18a91e9c764ffb3a8a39afd6fc4b33b6.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/b2/7a/b27ad84c5264a272b69b4c81ac7aed378847479d.jpg],origin[dam],category[ladies_dresses_mididresses],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Twist-detail dress Model', 'dataAltText': 'Twist-detail dress'}]",,,False,False,Favourites|1198948002|Twist-detail dress|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£59.99,,,,,New Arrival,2,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1198948002.html', 'colorName': 'Black'}, {'colorCode': '#463D4A', 'articleLink': '/en_gb/productpage.1198948001.html', 'colorName': 'Purple/Floral'}]",,,[],,,H&M,"1210211001,1175523001",",[Shell] Lyocell 86%, Polyester 14% ,[Lining] Polyester 100% , [Recycled] Recycled polyester 7%"
1196743001,"setOsaParameters(utag_data.category_id,'SMALL','1196743001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE5Njc0M19ncm91cF8wMDFfZW5fZ2I7MTE5Njc0MzAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs1OTs','1196743001');",/en_gb/productpage.1196743001.html,Draped bandeau top,ladies_tops,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/99/ec/99ec977d2106c0de043673614b5be62f5daa8e90.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/44/02/440293c325bd4a523ede110dbe867731f2ecd227.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Draped bandeau top Model', 'dataAltText': 'Draped bandeau top'}]",,,False,False,Favourites|1196743001|Draped bandeau top|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£37.99,,,,,New Arrival,1,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1196743001.html', 'colorName': 'Black'}]",,,[],,,H&M,"1158823001,1210211001,1196739001",",[Material] Polyester 94%, Elastane 6%"
0827332149,"setOsaParameters(utag_data.category_id,'SMALL','0827332149'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MDgyNzMzMl9ncm91cF8xNDlfZW5fZ2I7MDgyNzMzMjE0OV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs5MDs','0827332149');",/en_gb/productpage.0827332149.html,Soft long-sleeve top,ladies_tops_longsleeve,"[{'src': '//lp.monki.com/app002prod?set=source[/1e/e2/1ee21be20addba0e373c75e2fb9717de39f46c4f.jpg],origin[dam],category[ladies_tops_longsleeve],type[LOOKBOOK],res[m],hmver[1],target[hm.com]&call=url[file:/product/style]', 'dataAltImage': '//lp.monki.com/app002prod?set=source[/2d/a9/2da931a4214529f2dfa71e3253bb27718ee46fe5.jpg],origin[dam],category[ladies_tops_longsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2],target[hm.com]&call=url[file:/product/style]', 'alt': 'Soft long-sleeve top Model', 'dataAltText': 'Soft long-sleeve top'}]",,,False,False,Favourites|0827332149|Soft long-sleeve top|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£17.99,,,,,New Arrival,12,"[{'colorCode': '#B32B34', 'articleLink': '/en_gb/productpage.0827332149.html', 'colorName': 'Pink & red'}, {'colorCode': '#272628', 'articleLink': '/en_gb/productpage.0827332001.html', 'colorName': 'Black and white stripes'}, {'colorCode': '#5B9C60', 'articleLink': '/en_gb/productpage.0827332116.html', 'colorName': 'Purple & green'}, {'colorCode': '#5B9C60', 'articleLink': '/en_gb/productpage.0827332118.html', 'colorName': 'Off-white with green stripes'}]",,,[],,,Monki,,",[Material] Modal 50%, Cotton 50%"
1199733001,"setOsaParameters(utag_data.category_id,'SMALL','1199733001'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE5OTczM19ncm91cF8wMDFfZW5fZ2I7MTE5OTczMzAwMV9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs5MDs','1199733001');",/en_gb/productpage.1199733001.html,Ribbed bodycon dress,ladies_divided_dresses,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/73/2f/732f2d33c9f46cfc0f781192194c96c572142d0f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/b5/3b/b53bff05e3cfa3ef188999d9e77fc80d6ddda4d0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Ribbed bodycon dress Model', 'dataAltText': 'Ribbed bodycon dress'}]",,,False,False,Favourites|1199733001|Ribbed bodycon dress|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£24.99,,,,,New Arrival,1,"[{'colorCode': '#BCBDBE', 'articleLink': '/en_gb/productpage.1199733001.html', 'colorName': 'Light grey'}]",,,[],,,H&M,"1054358005,1165842002",",[Material] Polyester 96%, Elastane 4%"
1195465004,"setOsaParameters(utag_data.category_id,'SMALL','1195465004'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE5NTQ2NV9ncm91cF8wMDRfZW5fZ2I7MTE5NTQ2NTAwNF9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs5MDs','1195465004');",/en_gb/productpage.1195465004.html,Knitted Cardigan,ladies_cardigansjumpers_cardigans,"[{'src': '//lp.stories.com/app005prod?set=source[/c9/1b/c91bc8db7720dcc7ccb3de2dfdc5fb263ba21e8c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1],target[hm.com]&call=url[file:/product/style]', 'dataAltImage': '//lp.stories.com/app005prod?set=source[/7f/ef/7fef312a080514284d3daf5e4b99aaacb514e1a1.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2],target[hm.com]&call=url[file:/product/style]', 'alt': 'Knitted Cardigan Model', 'dataAltText': 'Knitted Cardigan'}]",,,False,False,Favourites|1195465004|Knitted Cardigan|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£85.00,,,,,New Arrival,2,"[{'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1195465004.html', 'colorName': 'Black'}, {'colorCode': '#A1AACF', 'articleLink': '/en_gb/productpage.1195465002.html', 'colorName': 'Light Blue'}]",,,[],,,& Other Stories,"1176337002,1124219001,1169084001,1160572001",",[Shell] Alpaca 52%, Polyamide 45%, Elastane 3% "
1167210004,"setOsaParameters(utag_data.category_id,'SMALL','1167210004'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE2NzIxMF9ncm91cF8wMDRfZW5fZ2I7MTE2NzIxMDAwNF9lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs5MDs','1167210004');",/en_gb/productpage.1167210004.html,Satin slip dress,ladies_divided_dresses,"[{'src': '//lp2.hm.com/hmgoepprod?set=source[/04/a2/04a2aff6bc78dec2a4e5204010c80bcfdbf0a5df.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]', 'dataAltImage': '//lp2.hm.com/hmgoepprod?set=source[/b6/d8/b6d87cd19e73eb2094c76743a39d31a14ce43435.jpg],origin[dam],category[ladies_divided_dresses],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]', 'alt': 'Satin slip dress Model', 'dataAltText': 'Satin slip dress'}]",,,False,False,Favourites|1167210004|Satin slip dress|LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,,,,£24.99,,,,,New Arrival,3,"[{'colorCode': '#D8C3C2', 'articleLink': '/en_gb/productpage.1167210004.html', 'colorName': 'Light pink'}, {'colorCode': '#BCBDBE', 'articleLink': '/en_gb/productpage.1167210001.html', 'colorName': 'Light grey'}, {'colorCode': '#272628', 'articleLink': '/en_gb/productpage.1167210003.html', 'colorName': 'Black'}]",,,[],,,H&M,"1165972001,1195706002",",[Shell] Polyester 100% ,[Lining] Polyester 100% , [Recycled] Recycled polyester from textiles 95%, Recycled polyester 4%"
1170923003,"setOsaParameters(utag_data.category_id,'SMALL','1170923003'); setNotificationTicket('Oy9wbHAvcHJvZHVjdC1saXN0LXdpdGgtY291bnQvcHJvZHVjdC1saXN0OyM7cHJvZHVjdF9rZXk7MTE3MDkyM19ncm91cF8wMDNfZW5fZ2I7MTE3MDkyMzAwM19lbl9nYjtPQkpFQ1RJVkUkO05PTkU6Tk9ORTs5MDs','1170923003');",/en_gb/productpage.1170923003.html,Knitted Cardigan ,ladies_cardigansjumpers_cardigans,"[{'src': '//lp.stories.com/app005prod?set=source[/e5/35/e535bde0b5bbb31306523d0ee15bc62a679ad811.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1],target[hm.com]&call=url[file:/product/style]', 'dataAltImage': '//lp.stories.com/app005prod?set=source[/db/2b/db2bb7815a82e1b0dd6139f1a2354dde776d5509.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2],target[hm.com]&call=url[file:/product/style]', 'alt': 'Knitted Cardigan  Model', 'dataAltText': 'Knitted Cardigan '}]",,,False,False,Favourites|1170923003|Knitted Cardigan |LADIES_NEWARRIVALS : CLOTHING_CLOTHING : VIEWALL_VIEW_ALL,SAVED AS FAVOURITE,SAVE AS FAVOURITE,& Other Stories,marker-designer-collection,,£75.00,,,,,New Arrival,3,"[{'colorCode': '#BEAEB3', 'articleLink': '/en_gb/productpage.1170923003.html', 'colorName': 'Light Pink Melange'}, {'colorCode': '#94989F', 'articleLink': '/en_gb/productpage.1170923001.html', 'colorName': 'Light Grey Melange'}, {'colorCode': '#9E948F', 'articleLink': '/en_gb/productpage.1170923002.html', 'colorName': 'Light Brown Melange'}]",,,[],,,& Other Stories,"1123981001,1181853002,1183067001,1117556001,1183067002",",[Shell] Alpaca 52%, Polyamide 45%, Elastane 3% "
